"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что ответы на вопросы содержат ожидаемый текст
        
        Steps:
        1. Кликнуть на вопрос
        2. Получить текст ответа
        3. Проверить, что ответ содержит ожидаемый текст
        ","77","Проверка текста в ответах на вопросы","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
"Проверка, что ответы на вопросы содержат ожидаемый текст
        
        Steps:
        1. Кликнуть на вопрос
        2. Получить текст ответа
        3. Проверить, что ответ содержит ожидаемый текст
        ","572","Проверка текста в ответах на вопросы","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
"Проверка, что ответы на вопросы содержат ожидаемый текст
        
        Steps:
        1. Кликнуть на вопрос
        2. Получить текст ответа
        3. Проверить, что ответ содержит ожидаемый текст
        ","108","Проверка текста в ответах на вопросы","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
"Проверка, что ответы на вопросы содержат ожидаемый текст
        
        Steps:
        1. Кликнуть на вопрос
        2. Получить текст ответа
        3. Проверить, что ответ содержит ожидаемый текст
        ","599","Проверка текста в ответах на вопросы","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
"Проверка, что ответы на вопросы содержат ожидаемый текст
        
        Steps:
        1. Кликнуть на вопрос
        2. Получить текст ответа
        3. Проверить, что ответ содержит ожидаемый текст
        ","577","Проверка текста в ответах на вопросы","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
"Проверка, что ответы на вопросы содержат ожидаемый текст
        
        Steps:
        1. Кликнуть на вопрос
        2. Получить текст ответа
        3. Проверить, что ответ содержит ожидаемый текст
        ","569","Проверка текста в ответах на вопросы","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
"Проверка, что у всех вопросов есть ответы
        
        Steps:
        1. Собрать все вопросы и ответы в словарь
        2. Проверить, что количество вопросов соответствует ожидаемому
        3. Проверить, что все ответы не пустые
        ","799","Проверка отображения всех вопросов и ответов","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
"Проверка успешного оформления заказа самоката
        
        Steps:
        1. Кликнуть на кнопку заказа в хедере/футере
        2. Заполнить форму личных данных
        3. Перейти к форме аренды
        4. Заполнить форму аренды
        5. Подтвердить заказ
        6. Проверить сообщение об успехе
        ","2238","Оформление заказа через {order_button[0]}","tests","2025-10-02","passed","2025-10-02","TestOrder","test_order","",""
"
        Steps:
        1. Перейти на форму оформления заказа
        2. Нажать на логотип самоката
        3. Проверить: выполнился переходна главную страницу
        ","265","Переход на главную страницу через логотип самоката","tests","2025-10-02","passed","2025-10-02","TestNavigation","test_navigation","",""
"
        Steps:
        1. Нажать на логотип Яндекса
        2. Проверить: выполнился переходна на страницу дзена
        ","743","Переход на страницу дзена через логотип Яндекса","tests","2025-10-02","passed","2025-10-02","TestNavigation","test_navigation","",""
"Проверка, что ответы на вопросы содержат ожидаемый текст
        
        Steps:
        1. Кликнуть на вопрос
        2. Получить текст ответа
        3. Проверить, что ответ содержит ожидаемый текст
        ","580","Проверка текста в ответах на вопросы","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
"Проверка успешного оформления заказа самоката
        
        Steps:
        1. Кликнуть на кнопку заказа в хедере/футере
        2. Заполнить форму личных данных
        3. Перейти к форме аренды
        4. Заполнить форму аренды
        5. Подтвердить заказ
        6. Проверить сообщение об успехе
        ","2180","Оформление заказа через {order_button[0]}","tests","2025-10-02","passed","2025-10-02","TestOrder","test_order","",""
"Проверка, что ответы на вопросы содержат ожидаемый текст
        
        Steps:
        1. Кликнуть на вопрос
        2. Получить текст ответа
        3. Проверить, что ответ содержит ожидаемый текст
        ","66","Проверка текста в ответах на вопросы","tests","2025-10-02","passed","2025-10-02","TestFaq","test_faq","",""
